id,department,project_name,scope_of_work,pm_department,project_status,neighborhood,authorization_existing,authorization_fy,authorization_future,grant_existing,grant_fy,grant_future,go_expended,capital_year_0,capital_year_1,capital_year_25,grant_expended,grant_year_0,grant_year_1,grant_year_25,external_funds,total_project_budget,sum_authorization
412,Boston Public Schools,Bathroom Improvements At Various Schools,Renovate Bathrooms In Schools Across The District.,Boston Public Schools,New Project,Multiple Neighborhoods,5000000,21000000,0,0,0,0,0.0,0,5000000,21000000.0,0.0,0,0,0.0,0,26000000,26000000
413,Public Works Department,Ada Ramps Pedestrian Ramps Fy25-27,"Install Or Reconstruct Pedestrian Ramps To Conform To Current Ada And Aab Regulations For The 2025, 2026, And 2027 Construction Seasons.",Public Works Department,Annual Program,Citywide,11900000,0,8100000,3100000,11900000,25000000,0.0,0,4200000,15800000.0,0.0,0,15000000,25000000.0,0,60000000,20000000
414,Public Works Department,Sidewalk Reconstruction Fy25-27,"Program For Sidewalk Reconstruction And Repair Including Responses To 311 Requests As Well As Planned Reconstruction Of Brick And Concrete Sidewalks For The 2025, 2026, And 2027 Construction Seasons.",Public Works Department,Annual Program,Citywide,0,4650000,2250000,0,8500000,19600000,0.0,0,2600000,4300000.0,0.0,0,8500000,19600000.0,0,35000000,6900000
415,Public Works Department,Roadway Reconstruction And Resurfacing Fy25-27,Maintain Citywide Streets With Resurfacing And Reconstruction Efforts.,Public Works Department,Annual Program,Citywide,0,20000000,10000000,0,0,40500000,0.0,0,3000000,27000000.0,0.0,0,13500000,27000000.0,0,70500000,30000000
416,Boston Public Schools,Blackstone School Pool,Renovate The Pool At The Blackstone School.,Public Facilities Department,New Project,South End,500000,1500000,0,0,0,0,0.0,0,200000,1800000.0,0.0,0,0,0.0,0,2000000,2000000
417,Boston Public Schools,Holland School Pool,Renovate The Pool At The Holland School.,Public Facilities Department,New Project,Dorchester,500000,1500000,0,0,0,0,0.0,0,200000,1800000.0,0.0,0,0,0.0,0,2000000,2000000
418,Environment Department,Coastal Resilience Reserve,"Funding Reserve That Will Be Used To Provide Matching Funds As Needed For State, Federal, Or Other Grant Programs And To Support Budget Increases Of Coastal Resilience Projects That May Be Necessary.",Environment Department,To Be Scheduled,Multiple Neighborhoods,0,0,75000000,0,0,0,0.0,0,0,75000000.0,0.0,0,0,0.0,0,75000000,75000000
419,Boston Public Schools,School Yard Improvements,"Design And Construct School Yard Improvements Including New Play Structures, Safety Surfacing, And Landscaping.",Boston Public Schools,Annual Program,Citywide,750000,2250000,3000000,0,0,0,0.0,0,750000,5250000.0,0.0,0,0,0.0,0,6000000,6000000
420,Boston Public Schools,Security And Pa Upgrades,"Security-Related Improvements At Various Schools, Including Installing Or Upgrading Pa And Alarm Systems.",Boston Public Schools,Annual Program,Citywide,0,5000000,0,0,0,0,0.0,0,1000000,4000000.0,0.0,0,0,0.0,0,5000000,5000000
421,Public Works Department,Bridge Repairs,Ongoing Repairs At Various City-Owned Bridges As Needed To Bring The Portfolio Of 40 Bridges To A State Of Good Repair. This Includes Proactive Maintenance And Annual Maintenance.,Public Works Department,Annual Program,Citywide,37500000,0,0,0,0,0,18380301.0,7000000,5000000,7119699.0,0.0,0,0,0.0,0,37500000,37500000
422,Public Works Department,Transit Project-Related Infrastructure Improvements,"Design And Include Enhancements To Mbta Driven Project On City Streets, Including Green Infrastructure, Bike Lanes, And Sidewalk Enhancements.",Public Works Department,New Project,Citywide,0,10000000,0,0,0,0,0.0,0,0,10000000.0,0.0,0,0,0.0,0,10000000,10000000
423,Public Works Department,Lower Roxbury Neighborhood Safety Improvements,"Roadway Safety And Crossing Improvements On Harrison Ave., Washington Street, Shawmut Ave., Tremont Street, And Northampton Street. Install Bike Lanes On Northampton Street And Shawmut Ave.",Public Works Department,New Project,Roxbury,0,0,0,5000000,0,0,0.0,0,0,0.0,0.0,0,2500000,2500000.0,0,5000000,0
424,Public Works Department,Pleasant Street Neighborhood Safety Improvements,Roadway Safety Improvements On Pleasant Street From Sawyer Ave. To The Intersection With East Cottage Street.,Public Works Department,New Project,Dorchester,0,0,0,2500000,0,0,0.0,0,0,0.0,0.0,0,1500000,1000000.0,0,2500000,0
425,Boston Public Schools,Renew Boston Trust Phase 3C,Energy System Improvements At Otis School And Geothermal Test Drilling At Jfk School.,Public Facilities Department,In Design,Multiple Neighborhoods,3000000,0,0,0,0,0,0.0,250000,1650000,1100000.0,0.0,0,0,0.0,0,3000000,3000000
426,Transportation Department,Back Bay Bicycle Network,"Creating A Safe And Connected Bicycle Network In The Back Bay Considering Improvements On But Not Limited To Berkeley Street, Beacon Street, Exeter Street, Dartmouth Street, And Arlington Street.",Transportation Department,In Design,Back Bay,0,0,0,0,2000000,0,0.0,0,0,0.0,0.0,0,1000000,1000000.0,0,2000000,0
427,Transportation Department,Albany St Bike Accommodations,Construct Bike Facilities On Albany Street From Melnea Cass Blvd. To Frontage Road.,Transportation Department,In Construction,South End,0,0,0,100000,0,0,0.0,0,0,0.0,0.0,0,100000,0.0,0,100000,0
